%ERS4 CO2 fluxes for plot 2 year 2024
% Year, Date, Plot,CO2 flux, flux_l, grad, K, u*, cup1, H, Ts,int_z_l,int_z_u,d, z0, fetch_intake_big,fetch_intake_small,BL, Filter, TGA_F,u* info
% , doy, ,ug CO2/(m2s), ug CO2/(m2s), ug/m3, m2/s, m/s,m/s, W/m2,oC,m,m,m,m,m,m, , ,
2024.000000,1.041667,2.000000,NaN,NaN,43.714963,NaN,NaN,2.918000,-1.854860,272.088000,NaN,NaN,0.050000,0.005000,1000.000000,1000.000000,1000.000000,% low winds,,%      
2024.000000,1.125000,2.000000,NaN,NaN,81.208608,NaN,0.165418,3.051000,-2.781885,271.457000,NaN,NaN,0.050000,0.005000,1000.000000,1000.000000,1000.000000,%         ,,%      
2024.000000,1.208333,2.000000,NaN,NaN,97.727883,NaN,0.153510,2.698000,-1.339254,271.205000,NaN,NaN,0.050000,0.005000,1000.000000,1000.000000,1000.000000,%         ,,%      
2024.000000,1.291667,2.000000,NaN,NaN,68.414831,NaN,0.090847,1.911000,-0.701592,270.952000,NaN,NaN,0.050000,0.005000,1000.000000,1000.000000,1000.000000,% u* low,,%      
2024.000000,1.375000,2.000000,NaN,NaN,NaN,NaN,0.123416,2.330000,0.460529,270.587000,NaN,NaN,0.050000,0.005000,1000.000000,1000.000000,1000.000000,% tga filt,% pressure difference between intakes over 0.2 mb,%      
2024.000000,1.458333,2.000000,4.726436,4.726436,54.708353,0.043197,0.141862,2.610000,5.940036,270.449000,0.513000,1.013000,0.050000,0.005000,129.256137,129.256137,92.600000,%         ,,%      
2024.000000,1.541667,2.000000,6.128145,6.128145,60.033020,0.051040,0.154325,2.820000,6.218545,270.616000,0.513000,1.013000,0.050000,0.005000,133.306590,133.306590,92.600000,%         ,,%      
2024.000000,1.625000,2.000000,4.162393,4.162393,43.068673,0.048323,0.150051,3.112000,4.928989,270.247000,0.513000,1.013000,0.050000,0.005000,142.075661,142.075661,92.600000,%         ,,%      
2024.000000,1.708333,2.000000,4.909237,4.909237,48.423104,0.050691,0.185612,3.467000,-0.625435,269.546000,0.513000,1.013000,0.050000,0.005000,129.256137,129.256137,92.600000,%         ,,%      
2024.000000,1.791667,2.000000,10.091534,10.091534,84.280601,0.059869,0.219217,3.992000,2.613490,270.016000,0.513000,1.013000,0.050000,0.005000,129.256137,129.256137,92.600000,%         ,,%      
2024.000000,1.875000,2.000000,8.158513,8.158513,53.072914,0.076861,0.281438,3.944000,4.965825,270.409000,0.513000,1.013000,0.050000,0.005000,157.192159,157.192159,92.600000,%         ,,%      
2024.000000,1.958333,2.000000,7.912031,7.912031,53.430631,0.074040,0.271108,4.509000,3.922572,270.120000,0.513000,1.013000,0.050000,0.005000,142.075661,142.075661,92.600000,%         ,,%      
2024.000000,2.041667,2.000000,15.937302,15.937302,89.486591,0.089049,0.326063,4.456000,1.631050,270.598000,0.513000,1.013000,0.050000,0.005000,122.597547,122.597547,92.600000,%         ,,%      
2024.000000,2.125000,2.000000,4.874162,4.874162,28.190467,0.086451,0.316550,4.583000,3.091857,270.616000,0.513000,1.013000,0.050000,0.005000,122.597547,122.597547,92.600000,%         ,,%      
2024.000000,2.208333,2.000000,11.309074,11.309074,50.433166,0.112119,0.410540,5.278000,2.238217,270.802000,0.513000,1.013000,0.050000,0.005000,122.597547,122.597547,92.600000,%         ,,%      
2024.000000,2.291667,2.000000,27.425721,27.425721,133.925762,0.102392,0.374920,5.088000,-1.487308,270.961000,0.513000,1.013000,0.050000,0.005000,115.030687,115.030687,92.600000,%         ,,%      
2024.000000,2.375000,2.000000,33.034292,33.034292,125.547938,0.131560,0.481726,5.537000,0.340338,271.159000,0.513000,1.013000,0.050000,0.005000,115.030687,115.030687,92.600000,%         ,,%      
2024.000000,2.458333,2.000000,31.800081,31.800081,119.620909,0.132920,0.486705,6.665000,15.243360,271.162000,0.513000,1.013000,0.050000,0.005000,111.535538,111.535538,92.600000,%         ,,%      
2024.000000,2.541667,2.000000,23.267493,23.267493,98.959026,0.117561,0.430466,5.752000,13.707030,272.239000,0.513000,1.013000,0.050000,0.005000,111.535538,111.535538,92.600000,%         ,,%      
2024.000000,2.625000,2.000000,27.088455,27.088455,118.505254,0.114292,0.418496,6.128000,-0.394620,272.307000,0.513000,1.013000,0.050000,0.005000,115.030687,115.030687,92.600000,%         ,,%      
2024.000000,2.708333,2.000000,8.203837,8.203837,39.215045,0.104601,0.383009,5.445000,-4.613295,271.909000,0.513000,1.013000,0.050000,0.005000,111.535538,111.535538,92.600000,%         ,,%      
2024.000000,2.791667,2.000000,17.073946,17.073946,85.816002,0.099480,0.364259,5.128000,-5.971352,271.993000,0.513000,1.013000,0.050000,0.005000,111.535538,111.535538,92.600000,%         ,,%      
2024.000000,2.875000,2.000000,16.943292,16.943292,74.409302,0.113852,0.416884,5.529000,-3.433367,272.012000,0.513000,1.013000,0.050000,0.005000,111.535538,111.535538,92.600000,%         ,,%      
2024.000000,2.958333,2.000000,21.892215,21.892215,99.654436,0.109841,0.402196,5.247000,5.091387,272.257000,0.513000,1.013000,0.050000,0.005000,111.535538,111.535538,92.600000,%         ,,%      
