Elora2002						
1	-6.3	-13.1	0.00	3.26	14.5	87.5
2	-3.4	-12.6	0.00	4.44	6.0	87.2
3	-2.5	-4.9	0.00	5.06	5.4	84.1
4	-2.3	-7.5	0.00	6.34	8.2	80.6
5	-0.4	-2.4	0.20	5.25	6.2	81.3
6	0.1	-1.8	0.00	3.00	6.0	95.2
7	-0.6	-11.7	0.00	4.46	15.2	81.9
8	-2.2	-11.7	0.02	6.50	8.9	85.5
9	2.3	-2.2	0.00	6.77	8.0	89.2
10	2.4	0.7	0.04	3.88	4.0	93.7
11	1.0	-0.4	0.00	5.31	5.1	90.7
12	1.9	-1.7	0.20	6.42	6.8	91.2
13	-0.4	-5.7	0.42	7.60	10.2	85.4
14	-0.5	-10.4	0.72	4.27	4.1	92.9
15	0.3	-4.1	0.08	5.33	6.4	96.1
16	-1.9	-7.5	1.02	4.27	9.0	89.8
17	-0.7	-6.0	0.38	6.62	11.4	94.0
18	-6.2	-17.4	0.30	5.23	12.5	88.8
19	-6.8	-19.6	0.00	1.88	12.5	83.2
20	-1.4	-13.9	0.00	5.50	9.6	85.0
21	-0.7	-3.6	0.16	5.37	8.0	91.8
22	3.2	-7.4	0.00	5.32	16.2	84.2
23	3.5	0.3	0.00	5.14	6.2	86.9
24	2.5	-5.2	0.00	4.15	5.1	95.4
25	2.3	-4.5	0.00	7.36	12.0	82.8
26	3.8	0.0	0.00	5.98	11.5	76.9
27	6.7	-1.3	0.00	4.28	16.0	78.7
28	6.5	0.1	0.00	2.78	15.6	77.3
29	1.0	-3.3	0.00	2.86	7.3	89.4
30	-2.7	-5.4	0.52	2.63	4.1	89.8
31	-5.2	-7.8	0.86	6.30	5.1	90.8
32	1.6	-9.3	0.22	6.87	6.3	93.9
33	-3.7	-10.7	0.04	2.38	13.5	86.1
34	-1.1	-5.3	0.22	6.43	12.1	86.0
35	-2.9	-16.2	0.04	6.74	20.0	84.3
36	-4.2	-18.4	0.00	5.89	12.2	84.5
37	-2.5	-8.5	0.00	4.66	11.8	86.6
38	1.0	-8.2	0.00	4.75	14.2	87.6
39	0.7	-5.8	0.00	3.78	8.3	91.3
40	-1.2	-6.7	0.00	5.01	10.2	93.5
41	4.1	-6.4	0.30	5.04	6.3	93.4
42	-6.5	-15.1	0.00	5.05	23.8	72.1
43	1.2	-6.3	0.18	9.47	7.8	83.6
44	-6.6	-15.4	0.00	4.60	18.8	76.8
45	1.9	-9.6	0.00	6.74	21.8	71.7
46	2.5	-0.7	0.12	6.43	12.4	77.8
47	0.5	-2.8	0.08	4.66	7.6	96.2
