Year,DOY,P3_T_5,P3_T_25,P3_T_55,P3_T_85
2018,1.0069444444444444,-3.668,0.0515,3.843,2.7705
2018,1.0138888888888888,-3.6915,0.0475,3.8375,2.7695
2018,1.0208333333333333,-3.718,0.039,3.843,2.7745
2018,1.0277777777777777,-3.738,0.034,3.8440000000000003,2.7675
2018,1.0347222222222223,-3.76,0.030000000000000002,3.8365,2.7640000000000002
2018,1.0416666666666667,-3.777,0.0295,3.8419999999999996,2.7655
2018,1.0486111111111112,-3.7925,0.0305,3.839,2.7675
2018,1.0555555555555556,-3.8075,0.028,3.824,2.7560000000000002
2018,1.0625,-3.835,0.02,3.8280000000000003,2.7605
2018,1.0694444444444444,-3.8575,0.0155,3.8339999999999996,2.7665
2018,1.0763888888888888,-3.87,0.018500000000000003,3.827,2.7555
2018,1.0833333333333333,-3.8834999999999997,0.0135,3.819,2.755
2018,1.0902777777777777,-3.904,0.0095,3.8165,2.7485
2018,1.0972222222222223,-3.92,0.0020000000000000018,3.823,2.7545
2018,1.1041666666666667,-3.9445,-0.0095,3.824,2.7525
2018,1.1111111111111112,-3.966,-0.011999999999999999,3.816,2.752
2018,1.1180555555555556,-3.989,-0.013000000000000001,3.816,2.7395
2018,1.125,-4.0095,-0.016999999999999998,3.8165,2.7445
2018,1.1319444444444444,-4.022,-0.016,3.8065,2.7385
2018,1.1388888888888888,-4.0285,-0.011999999999999999,3.8055,2.7415
2018,1.1458333333333333,-4.0495,-0.0125,3.803,2.73
2018,1.1527777777777777,-4.0575,-0.0095,3.7960000000000003,2.7275
2018,1.1597222222222223,-4.0655,-0.006,3.795,2.7270000000000003
2018,1.1666666666666667,-4.074,-0.006,3.795,2.7265
2018,1.1736111111111112,-4.064,0.0085,3.7990000000000004,2.7305
2018,1.1805555555555556,-4.061,0.013,3.787,2.7145
2018,1.1875,-4.061,0.015500000000000002,3.7915,2.7235
2018,1.1944444444444444,-4.0625,0.0125,3.7955,2.7275
2018,1.2013888888888888,-4.061,0.012499999999999999,3.7910000000000004,2.7225
2018,1.2083333333333333,-4.065,0.009999999999999998,3.782,2.7135
2018,1.2152777777777777,-4.063000000000001,0.006500000000000001,3.7855,2.7169999999999996
2018,1.2222222222222223,-4.071,4.99999999999997e-4,3.7805,2.7165
2018,1.2291666666666667,-4.081,-0.003499999999999998,3.7800000000000002,2.7115
2018,1.2361111111111112,-4.0835,-0.005999999999999998,3.7795,2.715
2018,1.2430555555555556,-4.086,-0.007000000000000001,3.7765,2.7165
2018,1.25,-4.093,-0.0105,3.782,2.7095
2018,1.2569444444444444,-4.0969999999999995,-0.012499999999999999,3.7705,2.706
2018,1.2638888888888888,-4.097,-0.011,3.776,2.7075
2018,1.2708333333333333,-4.104,-0.016,3.7815,2.7045
2018,1.2777777777777777,-4.1125,-0.018500000000000003,3.7695,2.71
2018,1.2847222222222223,-4.12,-0.0235,3.7795,2.707
2018,1.2916666666666667,-4.1245,-0.024,3.7845,2.716
2018,1.2986111111111112,-4.1325,-0.0275,3.779,2.7105
2018,1.3055555555555556,-4.1425,-0.03,3.7825,2.7095
2018,1.3125,-4.15,-0.033,3.7815,2.7085
2018,1.3194444444444444,-4.1594999999999995,-0.0345,3.7865,2.7095
2018,1.3263888888888888,-4.1675,-0.0355,3.7775,2.7089999999999996
2018,1.3333333333333333,-4.1775,-0.0405,3.777,2.7085
2018,1.3402777777777777,-4.207,-0.053000000000000005,3.7675,2.6905
2018,1.3472222222222223,-4.225,-0.056999999999999995,3.7715,2.699
2018,1.3541666666666665,-4.2465,-0.068,3.7560000000000002,2.6835
2018,1.3611111111111112,-4.26,-0.07,3.7655,2.6965
2018,1.3680555555555556,-4.241,-0.052500000000000005,3.7569999999999997,2.6885
2018,1.375,-4.237,-0.0505,3.7575,2.685
2018,1.3819444444444444,-4.2455,-0.051000000000000004,3.737,2.66
2018,1.3888888888888888,-4.281000000000001,-0.065,3.716,2.6345
2018,1.3958333333333333,-4.3134999999999994,-0.0765,3.729,2.6525
2018,1.4027777777777777,-4.3004999999999995,-0.0675,3.7350000000000003,2.6580000000000004
2018,1.4097222222222223,-4.2625,-0.041,3.7430000000000003,2.662
2018,1.4166666666666667,-4.235,-0.0195,3.7365,2.6555
2018,1.4236111111111112,-4.2165,-4.999999999999996e-4,3.7455,2.6559999999999997
2018,1.4305555555555556,-4.184,0.025,3.7435,2.6494999999999997
2018,1.4375,-4.159,0.0405,3.7375,2.6525
2018,1.4444444444444444,-4.132,0.0525,3.755,2.657
2018,1.4513888888888888,-4.1005,0.067,3.7495000000000003,2.6605
2018,1.4583333333333333,-4.065,0.078,3.7535,2.668
2018,1.4652777777777777,-4.0325,0.08549999999999999,3.7525,2.676
2018,1.4722222222222223,-3.992,0.0995,3.7775,2.697
2018,1.4791666666666665,-3.955,0.10750000000000001,3.776,2.699
2018,1.4861111111111112,-3.9094999999999995,0.1185,3.777,2.7005
2018,1.4930555555555556,-3.8760000000000003,0.122,3.768,2.6915
2018,1.5,-3.8445,0.1235,3.7569999999999997,2.685
2018,1.5069444444444444,-3.8049999999999997,0.1285,3.7655,2.6975
2018,1.5138888888888888,-3.758,0.137,3.7865,2.71
2018,1.5208333333333335,-3.7085,0.14300000000000002,3.776,2.7039999999999997
2018,1.5277777777777777,-3.669,0.147,3.7855,2.722
2018,1.5347222222222223,-3.63,0.1485,3.7755,2.7075
2018,1.5416666666666665,-3.5975,0.148,3.7725,2.7039999999999997
2018,1.5486111111111112,-3.5484999999999998,0.1605,3.786,2.7184999999999997
2018,1.5555555555555554,-3.513,0.1615,3.7809999999999997,2.7175000000000002
2018,1.5625,-3.475,0.1645,3.809,2.7495000000000003
2018,1.5694444444444444,-3.4370000000000003,0.166,3.798,2.751
2018,1.5763888888888888,-3.4065,0.1615,3.8225,2.7715
2018,1.5833333333333335,-3.3685,0.1635,3.809,2.758
2018,1.5902777777777777,-3.3339999999999996,0.1675,3.8345000000000002,2.7835
2018,1.5972222222222223,-3.295,0.16749999999999998,3.8195,2.773
2018,1.6041666666666667,-3.2595,0.16599999999999998,3.8485,2.802
2018,1.6111111111111112,-3.226,0.16449999999999998,3.8335,2.7865
2018,1.6180555555555556,-3.2035,0.15,3.803,2.7565
2018,1.625,-3.181,0.14100000000000001,3.79,2.743
2018,1.6319444444444444,-3.155,0.138,3.7785,2.7279999999999998
2018,1.6388888888888888,-3.124,0.14100000000000001,3.7715,2.7245
2018,1.6458333333333335,-3.105,0.1405,3.8015,2.742
2018,1.6527777777777777,-3.0885,0.135,3.8019999999999996,2.747
2018,1.6597222222222223,-3.0715000000000003,0.13,3.7945,2.735
2018,1.6666666666666665,-3.0655,0.12,3.7995,2.7485
2018,1.6736111111111112,-3.0629999999999997,0.113,3.8005,2.754
2018,1.6805555555555554,-3.0545,0.1105,3.803,2.7515
2018,1.6875,-3.049,0.109,3.7875,2.7405
2018,1.6944444444444444,-3.047,0.105,3.7945,2.748
2018,1.7013888888888888,-3.0484999999999998,0.09899999999999999,3.7800000000000002,2.729
2018,1.7083333333333335,-3.0555000000000003,0.091,3.7744999999999997,2.723
2018,1.7152777777777777,-3.059,0.08750000000000001,3.7750000000000004,2.7154999999999996
2018,1.7222222222222223,-3.061,0.085,3.7695,2.7264999999999997
2018,1.7291666666666667,-3.0645,0.0825,3.7795,2.7195
2018,1.7361111111111112,-3.075,0.0775,3.7640000000000002,2.7125000000000004
2018,1.7430555555555556,-3.0835,0.07100000000000001,3.7635,2.7119999999999997
2018,1.75,-3.0925000000000002,0.0675,3.7395,2.6875
2018,1.7569444444444444,-3.1014999999999997,0.067,3.733,2.6814999999999998
2018,1.7638888888888888,-3.107,0.0625,3.7415000000000003,2.6944999999999997
2018,1.7708333333333335,-3.1115,0.0615,3.7185,2.6715
2018,1.7777777777777777,-3.1125,0.061,3.7165,2.6685
2018,1.7847222222222223,-3.117,0.0615,3.7105,2.6675
2018,1.7916666666666665,-3.1195000000000004,0.0565,3.699,2.6475
2018,1.7986111111111112,-3.12,0.0565,3.6995,2.652
2018,1.8055555555555554,-3.1185,0.0565,3.685,2.6375
2018,1.8125,-3.115,0.056499999999999995,3.6865,2.6355000000000004
2018,1.8194444444444444,-3.12,0.0505,3.6814999999999998,2.63
2018,1.8263888888888888,-3.13,0.042499999999999996,3.6925,2.6365
2018,1.8333333333333335,-3.138,0.036000000000000004,3.6855,2.6425
2018,1.8402777777777777,-3.1435,0.032,3.683,2.6355000000000004
2018,1.8472222222222223,-3.149,0.028499999999999998,3.6855,2.6295
2018,1.8541666666666667,-3.1550000000000002,0.025,3.6805,2.633
2018,1.8611111111111112,-3.1605,0.0225,3.6835,2.6315
2018,1.8680555555555556,-3.1645,0.0215,3.6814999999999998,2.634
2018,1.875,-3.1665,0.0195,3.6719999999999997,2.6245000000000003
2018,1.8819444444444444,-3.1710000000000003,0.0185,3.677,2.625
2018,1.8888888888888888,-3.173,0.018,3.6745,2.6189999999999998
2018,1.8958333333333335,-3.173,0.0165,3.6559999999999997,2.6045
2018,1.9027777777777777,-3.173,0.014,3.659,2.612
2018,1.9097222222222223,-3.1725000000000003,0.012499999999999999,3.6605,2.605
2018,1.9166666666666665,-3.1715,0.008,3.6545,2.594
2018,1.9236111111111112,-3.167,0.008,3.6565000000000003,2.592
2018,1.9305555555555554,-3.162,0.009999999999999998,3.6525,2.5965
2018,1.9375,-3.156,0.0095,3.6495,2.5854999999999997
2018,1.9444444444444444,-3.1494999999999997,0.005999999999999998,3.6615,2.597
2018,1.9513888888888888,-3.1445,0.006499999999999999,3.6495,2.5815
2018,1.9583333333333335,-3.133,0.005000000000000001,3.6425,2.5785
2018,1.9652777777777777,-3.123,0.003999999999999997,3.6585,2.5860000000000003
2018,1.9722222222222223,-3.1165000000000003,0.0024999999999999988,3.651,2.5825
2018,1.9791666666666667,-3.106,0.0015000000000000013,3.653,2.5805
2018,1.9861111111111112,-3.0965,0.0020000000000000018,3.6550000000000002,2.5825
2018,1.9930555555555556,-3.0865,5.000000000000004e-4,3.649,2.5805
2018,2,-3.0795000000000003,-0.0025000000000000022,3.653,2.5845000000000002
2018,2.0069444444444446,-3.0694999999999997,-0.0015000000000000013,3.657,2.5885
2018,2.013888888888889,-3.06,-0.0024999999999999988,3.6550000000000002,2.5865
2018,2.0208333333333335,-3.051,-0.0034999999999999996,3.66,2.5925000000000002
