date,plot,rotation,wfps_5,wfps_25
1/29/2018,P1,Conventional,12.06663843,51.93893412
1/29/2018,P2,Conventional,10.33154071,47.23418311
1/29/2018,P3,Diverse,NA,NA
1/29/2018,P4,Diverse,NA,NA
1/30/2018,P1,Conventional,8.924043376,43.41715818
1/30/2018,P2,Conventional,8.465808654,44.19726676
1/30/2018,P3,Diverse,NA,NA
1/30/2018,P4,Diverse,NA,NA
1/31/2018,P1,Conventional,8.430695887,42.86108753
1/31/2018,P2,Conventional,7.927080342,43.23243946
1/31/2018,P3,Diverse,NA,NA
1/31/2018,P4,Diverse,NA,NA
2/1/2018,P1,Conventional,8.456244605,41.46735941
2/1/2018,P2,Conventional,8.043411004,42.38017159
2/1/2018,P3,Diverse,NA,NA
2/1/2018,P4,Diverse,NA,NA
2/2/2018,P1,Conventional,7.492548985,39.69622093
2/2/2018,P2,Conventional,7.407636966,41.07251727
2/2/2018,P3,Diverse,NA,NA
2/2/2018,P4,Diverse,NA,NA
2/3/2018,P1,Conventional,7.311822863,34.96513381
2/3/2018,P2,Conventional,7.29818109,38.46565142
2/3/2018,P3,Diverse,NA,NA
2/3/2018,P4,Diverse,NA,NA
2/4/2018,P1,Conventional,7.824075721,32.83283501
2/4/2018,P2,Conventional,7.637230876,37.35235824
2/4/2018,P3,Diverse,NA,NA
2/4/2018,P4,Diverse,NA,NA
2/5/2018,P1,Conventional,7.895360978,32.80960625
2/5/2018,P2,Conventional,7.643655021,37.28292314
2/5/2018,P3,Diverse,NA,NA
2/5/2018,P4,Diverse,NA,NA
2/6/2018,P1,Conventional,7.625356624,32.17881641
2/6/2018,P2,Conventional,7.498389637,36.30669154
2/6/2018,P3,Diverse,NA,NA
2/6/2018,P4,Diverse,NA,NA
2/7/2018,P1,Conventional,7.544226095,30.85567229
2/7/2018,P2,Conventional,7.35087735,34.73999375
2/7/2018,P3,Diverse,NA,NA
2/7/2018,P4,Diverse,NA,NA
2/8/2018,P1,Conventional,7.658664984,29.66203943
2/8/2018,P2,Conventional,7.452126816,33.43586272
2/8/2018,P3,Diverse,NA,NA
2/8/2018,P4,Diverse,NA,NA
2/9/2018,P1,Conventional,7.72245227,28.47877844
2/9/2018,P2,Conventional,7.461285043,32.4328654
2/9/2018,P3,Diverse,NA,NA
2/9/2018,P4,Diverse,NA,NA
2/10/2018,P1,Conventional,7.966294738,28.13504899
2/10/2018,P2,Conventional,7.656286538,32.15358112
2/10/2018,P3,Diverse,NA,NA
2/10/2018,P4,Diverse,NA,NA
2/11/2018,P1,Conventional,8.186810657,28.34019312
2/11/2018,P2,Conventional,7.866340278,32.57857418
2/11/2018,P3,Diverse,NA,NA
2/11/2018,P4,Diverse,NA,NA
2/12/2018,P1,Conventional,8.301306944,28.86442847
2/12/2018,P2,Conventional,8.019619872,33.3474464
2/12/2018,P3,Diverse,NA,NA
2/12/2018,P4,Diverse,NA,NA
2/13/2018,P1,Conventional,9.2488336,38.82094258
2/13/2018,P2,Conventional,8.250257906,35.31470202
2/13/2018,P3,Diverse,NA,NA
2/13/2018,P4,Diverse,NA,NA
2/14/2018,P1,Conventional,11.23164826,54.79967008
2/14/2018,P2,Conventional,9.07273985,37.57597595
2/14/2018,P3,Diverse,8.2087711,29.06896673
2/14/2018,P4,Diverse,8.048382612,34.12050489
2/15/2018,P1,Conventional,11.64620334,55.06837412
2/15/2018,P2,Conventional,9.532443162,37.86103251
2/15/2018,P3,Diverse,9.921949679,29.44278336
2/15/2018,P4,Diverse,8.609146875,34.69293649
2/16/2018,P1,Conventional,12.43811274,55.85628049
2/16/2018,P2,Conventional,10.53604455,38.87566187
2/16/2018,P3,Diverse,10.62985219,30.5995547
2/16/2018,P4,Diverse,9.559255849,35.99205306
2/17/2018,P1,Conventional,12.72871958,56.65871916
2/17/2018,P2,Conventional,9.88419391,40.37345423
2/17/2018,P3,Diverse,8.660594685,32.1253304
2/17/2018,P4,Diverse,8.855208761,38.10420537
2/18/2018,P1,Conventional,12.84664332,57.25090972
2/18/2018,P2,Conventional,9.526401816,41.29448759
2/18/2018,P3,Diverse,8.919522837,32.89545287
2/18/2018,P4,Diverse,8.728811672,39.44768412
2/19/2018,P1,Conventional,13.06630507,57.6482774
2/19/2018,P2,Conventional,9.560780556,42.12684855
2/19/2018,P3,Diverse,9.370123184,33.82654085
2/19/2018,P4,Diverse,8.858927698,40.49705189
2/20/2018,P1,Conventional,13.6402351,58.64547727
2/20/2018,P2,Conventional,10.62355726,43.21129766
2/20/2018,P3,Diverse,15.76150166,35.05409378
2/20/2018,P4,Diverse,10.3614183,41.123759
2/21/2018,P1,Conventional,15.07954006,67.61135076
2/21/2018,P2,Conventional,20.00341645,47.31028406
2/21/2018,P3,Diverse,37.23143181,39.73137582
2/21/2018,P4,Diverse,16.43216733,47.60671749
2/22/2018,P1,Conventional,16.1850305,61.08391338
2/22/2018,P2,Conventional,17.62986816,47.18569081
2/22/2018,P3,Diverse,19.95643339,39.47250003
2/22/2018,P4,Diverse,13.80888723,45.16647778
2/23/2018,P1,Conventional,16.98866242,61.34125691
2/23/2018,P2,Conventional,18.82909829,48.48418763
2/23/2018,P3,Diverse,24.09920737,41.31529659
2/23/2018,P4,Diverse,14.94542618,46.97682923
2/24/2018,P1,Conventional,18.16364466,63.58504173
2/24/2018,P2,Conventional,22.97078472,50.64595994
2/24/2018,P3,Diverse,35.29561066,44.46453419
2/24/2018,P4,Diverse,17.62264362,49.52974353
2/25/2018,P1,Conventional,19.91114092,64.53159394
2/25/2018,P2,Conventional,30.76131688,53.0756114
2/25/2018,P3,Diverse,35.62067447,46.49428504
2/25/2018,P4,Diverse,24.42774263,50.09513447
2/26/2018,P1,Conventional,21.99408876,62.55137361
2/26/2018,P2,Conventional,35.28578216,52.06335953
2/26/2018,P3,Diverse,28.51213397,48.61602664
2/26/2018,P4,Diverse,26.27802316,50.24686338
2/27/2018,P1,Conventional,24.44200059,62.1643036
2/27/2018,P2,Conventional,37.71745577,53.47428046
2/27/2018,P3,Diverse,28.53596958,50.26511348
2/27/2018,P4,Diverse,29.42969452,51.5633733
2/28/2018,P1,Conventional,31.94212142,62.58543917
2/28/2018,P2,Conventional,43.93348056,56.97284845
2/28/2018,P3,Diverse,32.200861,53.10297446
2/28/2018,P4,Diverse,38.82961381,53.45164511
3/1/2018,P1,Conventional,37.48151774,62.44395303
3/1/2018,P2,Conventional,42.51685459,56.30188598
3/1/2018,P3,Diverse,29.64257756,54.00062948
3/1/2018,P4,Diverse,38.48430037,53.63410994
3/2/2018,P1,Conventional,34.10041864,61.05606114
3/2/2018,P2,Conventional,36.38533643,54.10760448
3/2/2018,P3,Diverse,22.97288673,52.53285439
3/2/2018,P4,Diverse,30.19484893,53.77308371
3/3/2018,P1,Conventional,29.65694116,59.14807532
3/3/2018,P2,Conventional,29.07173034,53.02202367
3/3/2018,P3,Diverse,14.06962473,51.5719386
3/3/2018,P4,Diverse,20.78546581,54.10581452
3/4/2018,P1,Conventional,26.28535652,58.25669631
3/4/2018,P2,Conventional,25.24379113,52.60674593
3/4/2018,P3,Diverse,9.243680823,51.1374304
3/4/2018,P4,Diverse,16.18449845,55.09727708
3/5/2018,P1,Conventional,22.41478438,57.21937939
3/5/2018,P2,Conventional,20.87961955,52.17071758
3/5/2018,P3,Diverse,5.805597329,50.5661066
3/5/2018,P4,Diverse,12.71934439,55.99467276
3/6/2018,P1,Conventional,21.93819132,56.81502251
3/6/2018,P2,Conventional,19.89483504,51.73587367
3/6/2018,P3,Diverse,5.217156357,50.36818497
3/6/2018,P4,Diverse,12.0173566,57.6030702
3/7/2018,P1,Conventional,21.38440195,56.27205101
3/7/2018,P2,Conventional,16.41983889,51.6198155
3/7/2018,P3,Diverse,4.798573718,50.09063775
3/7/2018,P4,Diverse,10.15732201,58.10433138
3/8/2018,P1,Conventional,22.00756162,56.18494564
3/8/2018,P2,Conventional,16.25667147,51.88435082
3/8/2018,P3,Diverse,5.067423878,49.98775243
3/8/2018,P4,Diverse,10.20567855,58.01977551
3/9/2018,P1,Conventional,21.97868761,56.22681866
3/9/2018,P2,Conventional,15.88290139,52.28961613
3/9/2018,P3,Diverse,4.723042334,49.97199899
3/9/2018,P4,Diverse,9.605542869,57.9868114
3/10/2018,P1,Conventional,20.47510163,55.92918867
3/10/2018,P2,Conventional,13.42009744,52.38975142
3/10/2018,P3,Diverse,4.213361725,49.5716863
3/10/2018,P4,Diverse,8.266687179,57.45207491
3/11/2018,P1,Conventional,17.43540831,55.42116206
3/11/2018,P2,Conventional,10.89174669,52.22785795
3/11/2018,P3,Diverse,3.591423771,48.15677285
3/11/2018,P4,Diverse,7.280777537,56.27231578
3/12/2018,P1,Conventional,15.51747479,55.09748378
3/12/2018,P2,Conventional,10.07581122,51.85315928
3/12/2018,P3,Diverse,3.635450294,47.13380777
3/12/2018,P4,Diverse,7.376807238,55.34326471
3/13/2018,P1,Conventional,12.97564046,54.77405944
3/13/2018,P2,Conventional,8.674405128,51.32458261
3/13/2018,P3,Diverse,3.374683868,46.08259593
3/13/2018,P4,Diverse,6.954966079,54.39931386
3/14/2018,P1,Conventional,11.22930155,54.42701496
3/14/2018,P2,Conventional,8.512650641,50.68189192
3/14/2018,P3,Diverse,3.172968937,45.06927033
3/14/2018,P4,Diverse,6.933773985,53.62355609
3/15/2018,P1,Conventional,8.431533681,53.72692626
3/15/2018,P2,Conventional,7.439163355,49.60469189
3/15/2018,P3,Diverse,3.092479434,42.9440471
3/15/2018,P4,Diverse,6.549109135,51.95253479
3/16/2018,P1,Conventional,7.686933146,52.93068084
3/16/2018,P2,Conventional,7.575871047,48.60647506
3/16/2018,P3,Diverse,2.933576175,41.38305521
3/16/2018,P4,Diverse,6.565802457,50.56481727
3/17/2018,P1,Conventional,6.322755021,50.50202585
3/17/2018,P2,Conventional,7.26510812,47.9376773
3/17/2018,P3,Diverse,3.081935791,39.52601528
3/17/2018,P4,Diverse,6.68079351,47.98398027
3/18/2018,P1,Conventional,6.711769071,49.80859448
3/18/2018,P2,Conventional,8.789997436,47.87465013
3/18/2018,P3,Diverse,3.855795753,38.81704205
3/18/2018,P4,Diverse,8.110207185,47.20780713
3/19/2018,P1,Conventional,7.154119338,50.82019659
3/19/2018,P2,Conventional,10.15050534,48.03483501
3/19/2018,P3,Diverse,4.484376763,38.93337762
3/19/2018,P4,Diverse,8.919225641,48.15145814
3/20/2018,P1,Conventional,6.953118056,51.32384094
3/20/2018,P2,Conventional,9.372377991,48.15351241
3/20/2018,P3,Diverse,4.058163301,39.15483469
3/20/2018,P4,Diverse,8.340554674,49.16467667
3/21/2018,P1,Conventional,6.995140785,50.99165268
3/21/2018,P2,Conventional,9.207085684,48.17579107
3/21/2018,P3,Diverse,4.00338563,39.28475347
3/21/2018,P4,Diverse,8.197441453,49.52637241
3/22/2018,P1,Conventional,7.158992094,51.11479227
3/22/2018,P2,Conventional,9.596513462,48.24393772
3/22/2018,P3,Diverse,4.06087305,39.40426282
3/22/2018,P4,Diverse,8.502961298,49.9618911
3/23/2018,P1,Conventional,7.439075321,51.59203791
3/23/2018,P2,Conventional,10.65636987,48.34668046
3/23/2018,P3,Diverse,4.31852711,39.57161692
3/23/2018,P4,Diverse,9.219831357,50.59668611
3/24/2018,P1,Conventional,7.663478419,52.23262301
3/24/2018,P2,Conventional,11.46856656,48.39568425
3/24/2018,P3,Diverse,4.404849012,39.8511417
3/24/2018,P4,Diverse,9.776834909,51.02025432
3/25/2018,P1,Conventional,7.354529621,52.20625704
3/25/2018,P2,Conventional,10.37539829,48.26994823
3/25/2018,P3,Diverse,4.099629808,40.10162986
3/25/2018,P4,Diverse,9.206486031,51.4501785
3/26/2018,P1,Conventional,8.077224332,52.23673516
3/26/2018,P2,Conventional,12.48154829,48.11272128
3/26/2018,P3,Diverse,5.685952457,40.24384795
3/26/2018,P4,Diverse,11.47278953,51.70441364
3/27/2018,P1,Conventional,9.174213969,53.37982235
3/27/2018,P2,Conventional,16.08123088,47.88837257
3/27/2018,P3,Diverse,8.223863568,40.67133624
3/27/2018,P4,Diverse,14.70492642,52.42693479
3/28/2018,P1,Conventional,12.76123584,54.60439252
3/28/2018,P2,Conventional,24.2073781,48.6598536
3/28/2018,P3,Diverse,13.35453905,41.66200931
3/28/2018,P4,Diverse,20.53366106,53.91845587
3/29/2018,P1,Conventional,22.62258056,57.49619766
3/29/2018,P2,Conventional,31.68406517,52.88447771
3/29/2018,P3,Diverse,18.54846514,48.62163321
3/29/2018,P4,Diverse,25.91178878,60.31211301
3/30/2018,P1,Conventional,32.94269324,60.6233899
3/30/2018,P2,Conventional,35.37138547,57.2635298
3/30/2018,P3,Diverse,20.10654089,53.33492708
3/30/2018,P4,Diverse,27.10507732,63.34522282
3/31/2018,P1,Conventional,18.86899044,53.24356427
3/31/2018,P2,Conventional,21.66879637,61.83631604
3/31/2018,P3,Diverse,18.20375489,52.91511727
3/31/2018,P4,Diverse,24.77246517,62.08080051
4/1/2018,P1,Conventional,17.44642503,52.73744741
4/1/2018,P2,Conventional,18.8434453,62.16977487
