Year	DoY	Hour	NEE	LE	H	Ustar	Tair	RH	VPD	Rg
2024	1	0	-9999	-9999	-9999	-9999	-9999	-9999	-99.99	0
2024	1	0	-9999	-9999	-9999	-9999	-9999	-9999	-99.99	0
2024	1	0.5	-9999	-9999	-9999	-9999	-9999	-9999	-99.99	0
2024	1	1	-5.22E-02	9.70561	-2.55466	0.195546	-2.07299999999998	89.2437	0.563122	0
2024	1	1.5	-5.69E-02	-0.608689	-2.63219	0.20687	-2.32799999999997	63.752	1.86229	0
2024	1	2	8.44547	3.70677	-1.8528	0.167741	-2.483	50.3919	2.51959	0
2024	1	2.5	1.46927	1.39118	-1.37484	0.158372	-2.51900000000001	52.0876	2.42682	0
2024	1	3	-2.47903	1.87532	-3.21412	0.19493	-2.66399999999999	55.2501	2.24246	0
2024	1	3.5	0.352246	1.66624	-3.01319	0.198305	-2.81199999999995	65.9586	1.68712	0
2024	1	4	0.866532	0.642741	-2.28935	0.16536	-2.96899999999999	71.7279	1.385	0
2024	1	4.5	0.206185	2.11592	-1.17563	0.155129	-2.95099999999996	74.0922	1.27085	0
2024	1	5	0.320456	3.04189	-1.71722	0.175645	-2.89699999999999	73.1481	1.32247	0
2024	1	5.5	0.54852	2.27023	-1.56686	0.1439	-2.91699999999997	72.1286	1.37067	0
2024	1	6	0.769034	2.46731	-1.51187	0.118298	-2.98999999999995	70.6569	1.43516	0
2024	1	6.5	0.356803	2.55621	-1.30355	0.944412E-01	-3.125	71.3413	1.38768	0
2024	1	7	0.441695	2.48547	-1.00234	0.998061E-01	-3.149	72.2093	1.3432	0
2024	1	7.5	0.441887	4.13912	0.147314	0.168384	-3.07499999999999	72.1963	1.35131	0.667885
2024	1	8	0.41443	6.3633	1.44939	0.161798	-3.33199999999999	71.6112	1.35352	9.090365
2024	1	8.5	0.292882	4.85836	0.362371	0.149121	-3.43099999999998	70.8399	1.38008	29.437652
2024	1	9	0.335229	4.79044	0.287415	0.134586	-3.38599999999997	69.8518	1.43167	48.124363
2024	1	9.5	0.321572	5.01434	1.33919	0.146949	-3.32899999999995	69.8012	1.4402	72.316833
2024	1	10	0.737533	6.16686	3.75657	0.167009	-3.40699999999998	71.099	1.37029	86.102879
2024	1	10.5	-0.374338	4.91624	4.23162	0.107814	-3.36099999999999	71.2732	1.36669	95.881728
2024	1	11	1.69146	6.80022	6.19652	0.147582	-3.21199999999999	68.1314	1.53314	132.882171
2024	1	11.5	0.575362E-01	6.4413	5.39618	0.143753	-3.096	68.8796	1.51018	140.442636
2024	1	12	-3.92E-02	6.44488	6.46396	0.139344	-3.20299999999997	69.9054	1.4488	162.740421
2024	1	12.5	0.981685E-01	8.23104	8.83638	0.152417	-3.077	70.2744	1.44448	176.708638
2024	1	13	-1.10E-03	10.0611	5.62394	0.14235	-2.90899999999999	68.0111	1.57405	170.259025
2024	1	13.5	0.616183E-01	12.9316	7.31516	0.203625	-2.80099999999999	63.6537	1.8029	159.680177
2024	1	14	0.159047	17.1296	6.3343	0.245448	-3.02499999999998	62.4041	1.83399	116.554928
2024	1	14.5	0.914985E-01	13.3124	6.87452	0.218474	-3.18099999999998	61.6445	1.84942	112.346844
2024	1	15	0.267884	12.7558	4.82544	0.161403	-3.36099999999999	60.9385	1.8583	99.001107
2024	1	15.5	-0.399712	17.4134	10.2483	0.243691	-3.77299999999997	60.6955	1.81314	66.721595
2024	1	16	0.352495E-01	20.6341	9.02598	0.254094	-4.04899999999998	60.0701	1.8042	35.733223
2024	1	16.5	0.169957	11.4613	2.64808	0.206434	-4.38399999999996	59.8663	1.76831	7.778959
2024	1	17	0.135916	11.9698	-1.12576	0.194834	-4.49599999999998	59.7327	1.7593	0.277741
2024	1	17.5	0.223871	12.6032	-0.860377	0.161101	-4.375	61.5943	1.69332	0
2024	1	18	0.249621	10.4137	0.722427	0.169022	-4.26599999999996	62.3354	1.67429	0
2024	1	18.5	0.43744	9.71023	0.501042	0.235481	-4.161	63.1502	1.65115	0
2024	1	19	0.241097	10.6388	2.05275	0.20469	-4.04399999999998	65.8456	1.54385	0
2024	1	19.5	0.432656	6.14482	0.236327	0.276939	-3.90899999999999	68.2533	1.44966	0
2024	1	20	0.324959	9.9822	2.9214	0.252899	-3.83499999999998	69.05	1.42107	0
2024	1	20.5	0.852809E-01	6.70278	-0.328812	0.266682	-3.82999999999998	69.4137	1.40491	0
2024	1	21	0.849041E-01	10.1604	4.29576	0.250757	-3.654	69.9805	1.3972	0
2024	1	21.5	0.629219E-01	10.8836	2.96617	0.278857	-3.738	69.1718	1.42589	0
2024	1	22	0.145842	10.1768	3.56901	0.303079	-3.67999999999995	69.7299	1.40619	0
2024	1	22.5	0.22912	10.8198	3.84718	0.287947	-3.72499999999997	70.2791	1.37597	0
2024	1	23	0.260317	11.1949	3.36928	0.257468	-3.93399999999997	69.0431	1.41096	0
2024	1	23.5	-0.197383	6.83861	3.91165	0.282433	-4.01900000000001	70.1648	1.35115	0
2024	2	0	-7.07E-02	10.2097	4.32471	0.303162	-3.88200000000001	70.22	1.36255	0
2024	2	0.5	0.109836	8.05582	0.148696	0.225617	-3.67199999999997	70.1735	1.38635	0
2024	2	1	0.124637	11.9488	1.68823	0.256593	-3.45499999999998	68.839	1.47208	0
2024	2	1.5	-6.18E-02	13.0545	1.7609	0.310137	-3.38200000000001	69	1.47249	0
2024	2	2	0.26527	10.6841	1.96067	0.273272	-3.42199999999997	69.8066	1.42996	0
2024	2	2.5	-9.90E-02	8.88779	2.09053	0.255383	-3.46199999999999	69.6686	1.43215	0
2024	2	3	-1.97E-02	9.86848	2.46561	0.266585	-3.43799999999999	70.1821	1.41047	0
2024	2	3.5	0.193891	12.2225	1.71074	0.333784	-3.32399999999996	69.8936	1.43627	0
2024	2	4	-5.39E-02	10.6544	1.86774	0.283998	-3.24099999999999	70.6537	1.40867	0
